,ZONE,AISLE,BAY,LVL,LOCATION,LOCATION_TYPE,PERM / TEMP,LOC WIDTH,LOC LENGTH,LOC HEIGHT,CURR MIN,CURR MAX,SKU,DESCRIPTION,UNIT HEIGHT,UNIT WIDTH,UNIT LENGTH,UNIT WEIGHT,UNIT VOLUME,PACK FLAG,DAILY UNITS,DAILY CUBIC VELOCITY,DAILY HITS,WAVE TASK (4 WEEKS),LEAN TASK (4 WEEKS),TOTAL TASK (4 WEEKS),WEEK 1 UNITS (NEWEST),WEEK 2 UNITS,WEEK 3 UNITS,WEEK 4 UNITS (OLDEST),WEEKLY AVERAGE,ON-HAND INVENTORY,Weight > 35,LV,IV,DS
17525,CP2,1,121,A,CP2-001-121-A01,Pick Mod - Pallet Flow,P,48.0,144.0,62.0,120.0,480.0,1003574686.0,5GAL CAMO BUCKET,14.5,12.25,12.25,1.81,2175.9062,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,327,No,428544.0,1044434.9759999999,-615890.9759999999
17561,CP2,1,126,C,CP2-001-126-C01,Pick Mod - Bin,P,18.0,24.0,18.0,50.0,144.0,1003253122.0,BLACK GRIDIRON TRUCKER HAT - ADJUSTA,4.0,8.0,7.0,0.8,224.0,,0.08,18.67,0.08,0,0,0,2,0,0,0,0.5,196,No,7776.0,32256.0,-24480.0
17589,CP2,1,130,C,CP2-001-130-C06,Pick Mod - Bin,P,12.0,24.0,18.0,6.0,32.0,1005144541.0,SMALL/MEDIUM RED FITTED HAT,6.0,8.0,8.0,0.2,384.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,16,No,5184.0,12288.0,-7104.0
17711,CP2,1,210,B,CP2-001-210-B01,Pick Mod - Bin,P,6.0,24.0,18.0,3.0,26.0,1004128473.0,LOCKLY SECURE PRO SMART LOCK - SN,9.0,8.4,4.65,4.52,351.54,,0.08,29.3,0.08,0,0,0,0,2,0,0,0.5,106,No,2592.0,9140.04,-6548.040000000001
17727,CP2,1,210,C,CP2-001-210-C01,Pick Mod - Bin,P,6.0,24.0,18.0,10.0,34.0,1002655392.0,"LEFT, RIGHT & STRAIGHT AVIATION SNIP",11.54,10.63,1.18,2.92,144.7508,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,66,No,2592.0,4921.5271999999995,-2329.5271999999995
17730,CP2,1,210,C,CP2-001-210-C04,Pick Mod - Bin,P,6.0,24.0,18.0,6.0,30.0,1003529050.0,MKE 19OZ MILD FCE HCKRY HNDL FRM HAM,1.55,5.7,16.05,1.79,141.8017,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,72,No,2592.0,4254.051,-1662.0510000000004
17739,CP2,1,210,C,CP2-001-210-C14,Pick Mod - Bin,P,6.0,24.0,18.0,12.0,250.0,664513.0,"3""(76MM)SPOON FOOT PULL SN",3.0,1.0,5.7,0.1,17.1,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,84,No,2592.0,4275.0,-1683.0
17740,CP2,1,210,C,CP2-001-210-C15,Pick Mod - Bin,P,6.0,24.0,18.0,96.0,300.0,667699.0,"7/8"" KNOB SN",1.0,3.0,3.7,0.07,11.1,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,95,No,2592.0,3330.0,-738.0
17838,CP2,1,212,B,CP2-001-212-B01,Pick Mod - Bin,P,6.0,24.0,18.0,5.0,20.0,538820.0,CORRY'S SLUG & SNAIL KILLER 8#,16.25,12.4,3.6,8.05,725.4,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,19,No,2592.0,14508.0,-11916.0
17886,CP2,1,214,A,CP2-001-214-A01,Pick Mod - Bin,P,6.0,24.0,18.0,14.0,168.0,1001021892.0,41000/46000/ACS/F40000/RL6200 SERIES,10.75,9.25,1.25,0.5,124.2968,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,228,No,2592.0,20881.8624,-18289.8624
17939,CP2,1,216,A,CP2-001-216-A01,Pick Mod - Bin,P,6.0,24.0,18.0,4.0,36.0,1003930964.0,MKE 1/4IN DRV SAE/MET RTCHT/SCKT50PC,9.7,14.0,2.0,5.1,271.6,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,143,No,2592.0,9777.6,-7185.6
18044,CP2,1,218,B,CP2-001-218-B17,Pick Mod - Bin,P,6.0,24.0,18.0,12.0,48.0,946505.0,"1-3/4""X36"" U-SHAPE DR SWEEP-BRZ",36.3,2.0,1.3,0.94,94.38,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,23,No,2592.0,4530.24,-1938.2399999999998
18162,CP2,1,220,C,CP2-001-220-C16,Pick Mod - Bin,P,6.0,24.0,18.0,12.0,981.0,488685.0,"3-3/4""(96MM) STEP-EDGE PULL SN",0.6,2.9,6.0,0.12,10.44,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,36,No,2592.0,10241.64,-7649.639999999999
18184,CP2,1,221,B,CP2-001-221-B14,Pick Mod - Bin,P,6.0,24.0,18.0,96.0,300.0,1002233181.0,"96MM MANDARA PULL, CB",0.9,2.95,5.45,0.22,14.4697,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,279,No,2592.0,4340.91,-1748.9099999999999
18209,CP2,1,222,A,CP2-001-222-A09,Pick Mod - Bin,P,24.0,24.0,18.0,4.0,18.0,1003866837.0,EXIT EMER COMBO W BATT,8.3,19.6,4.2,4.56,683.256,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,36,No,10368.0,12298.608,-1930.6080000000002
18215,CP2,1,222,B,CP2-001-222-B09,Pick Mod - Bin,P,12.0,24.0,18.0,20.0,276.0,1002233183.0,"128MM MANDARA PULL, SN",0.9,2.75,9.5,0.24,23.5125,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,300,No,5184.0,6489.45,-1305.4499999999998
18276,CP2,1,224,A,CP2-001-224-A07,Pick Mod - Bin,P,12.0,24.0,18.0,24.0,72.0,617288.0,"MD 1/4""X1/2""X17' FOAM WS-3 YR",1.15,9.95,7.85,0.16,89.8236,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,36,No,5184.0,6467.2991999999995,-1283.2991999999995
18278,CP2,1,224,A,CP2-001-224-A13,Pick Mod - Bin,P,6.0,24.0,18.0,24.0,72.0,1000764216.0,DRAWER SIDE TRACK BACK BRACKETS,7.438,3.813,1.5,0.125,42.5416,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,2592.0,3062.9952000000003,-470.9952000000003
